Reginalds Tower,959,357
Rice Bridge,761,252
Medieval Museum,932,361
Tower Hotel,968,376
Waterford Crystal,915,395
City Square,873,366
Fitwiltons Hotel,737,305
Summer Hill,705,333
ALDI,749,328
Clock Tower,839,308
